Artist,Track,acousticness,danceability,duration_ms,energy,followers,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence
Jimmy Wakely,Mine All Mine,0.779,0.84,178320,0.263,2373,4.35e-05,4,0.0935,-13.554,1,2,0.0585,92.511,4,0.714
Hoosier Hot Shots,Sioux city sue,0.99,0.849,172800,0.113,372,9.38e-05,4,0.15,-16.883,1,30,0.156,96.318,4,0.783
Tennessee Ernie Ford,Shot-Gun Boogie,0.47,0.742,155160,0.327,35499,5.23e-06,7,0.0669,-13.062,1,33,0.317,174.334,4,0.903
Lefty Frizzell,If You've Got the Money I've Got the Time,0.83,0.545,179307,0.392,56713,9.41e-05,2,0.0903,-10.091,1,44,0.0481,208.426,4,0.951
Jimmy Wakely,One Has My Name (The Other Has My Heart),0.983,0.726,168160,0.0782,2373,0.0,9,0.196,-14.426,1,31,0.0322,133.092,4,0.499
Bob Wills,Take Me Back To Tulsa,0.477,0.731,154920,0.555,22864,1.04e-05,2,0.326,-8.365,1,36,0.175,136.342,4,0.961
Johnny Bond,Mexicali Rose,0.468,0.669,168360,0.222,3864,0.00224,7,0.264,-11.671,1,5,0.031,109.852,3,0.652
Hank Thompson,The Wild Side Of Life,0.924,0.596,164520,0.144,19892,0.0,2,0.219,-10.307,1,44,0.0298,115.681,4,0.451
Cowboy Copas,Filipino Baby,0.968,0.723,166027,0.249,6309,0.000455,9,0.342,-10.896,1,29,0.0458,94.125,4,0.812
Al Dexter,"Wine, Women and Song",0.894,0.88,164120,0.267,880888,0.00165,7,0.134,-11.333,0,0,0.0706,95.99,4,0.923
"Hank Snow, The Singing Ranger, And His Rainbow Ranch Boys",I'm Movin' On,0.769,0.569,167920,0.701,44805,0.000104,2,0.211,-7.404,1,30,0.0307,97.436,4,0.933
Don Gibson,"Blue, Blue Day",0.794,0.729,113240,0.486,47381,0.0,4,0.192,-10.84,1,39,0.0299,100.161,4,0.978
Gene Vincent & His Blue Caps,Be-Bop-A-Lula,0.414,0.593,156307,0.537,67729,0.0,9,0.147,-10.906,1,46,0.0444,126.071,4,0.843
Red Foley,Chattanoogie Shoe Shine Boy,0.613,0.725,169000,0.373,16928,0.0202,10,0.118,-15.925,1,40,0.0494,148.367,4,0.846
Hank Williams,Jambalaya (On The Bayou) - Single Version,0.719,0.499,172040,0.293,511362,0.0,7,0.0699,-10.694,1,48,0.0354,165.092,4,0.878
The Davis Sisters,I Forgot More Than You'll Ever Know - Remastered,0.887,0.661,181507,0.288,28408,0.0,1,0.132,-6.635,1,33,0.0255,96.513,3,0.417
George Jones,White Lightning - Single Version,0.706,0.583,165453,0.8,591056,0.0,10,0.122,-9.689,1,54,0.0909,74.056,4,0.958
Elvis Presley,Hound Dog,0.733,0.357,136027,0.756,4088323,0.00505,0,0.76,-8.492,1,69,0.0621,174.797,4,0.95
