Artist,Track,acousticness,danceability,duration_ms,energy,followers,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence
Sawyer Brown,Step That Step,0.262,0.61,168240,0.518,281436,0.0,4,0.0766,-15.036,1,41,0.0288,97.707,4,0.897
David Frizzell,I'm Gonna Hire A Wino To Decorate Our Home,0.346,0.702,238973,0.472,20555,0.0,7,0.269,-12.387,1,53,0.128,81.245,4,0.812
Ronnie Milsap,(There's) No Gettin' over Me,0.627,0.595,199680,0.447,207000,0.000586,1,0.3,-10.342,0,52,0.0323,200.528,4,0.787
George Strait,The Fireman,0.137,0.664,154360,0.601,1850160,3.09e-05,2,0.0567,-13.379,1,55,0.0616,168.979,4,0.934
Ricky Skaggs,Highway 40 Blues,0.0582,0.653,188893,0.657,60593,0.00139,4,0.349,-11.966,1,48,0.0316,117.972,4,0.96
Eddie Rabbitt,You And I,0.249,0.377,241040,0.326,182768,0.000686,5,0.111,-12.515,1,51,0.0292,163.741,4,0.222
David Lee Murphy,Party Crowd,0.0379,0.758,198440,0.655,159152,0.0,7,0.0795,-11.661,1,56,0.0292,127.141,4,0.767
Brooks & Dunn,My Maria,0.06,0.673,207772,0.842,1414077,0.000257,3,0.184,-4.627,1,68,0.0365,125.571,4,0.897
Tracy Byrd,I'm From The Country - Single Version,0.206,0.687,213973,0.898,413534,0.0,2,0.284,-3.93,1,58,0.042,129.542,4,0.952
Neal McCoy,The Shake,0.0755,0.677,213333,0.892,234707,6.6e-06,9,0.202,-5.709,1,51,0.0527,145.921,4,0.898
John Anderson,Straight Tequila Night,0.137,0.638,172756,0.661,248493,0.0,9,0.245,-10.134,1,60,0.0341,109.268,4,0.464
George Strait,If I Know Me,0.646,0.549,161800,0.352,1850160,0.00014,4,0.104,-11.217,1,51,0.0271,134.374,4,0.153
John Michael Montgomery,Sold (The Grundy County Auction Incident),0.108,0.771,152187,0.848,549017,0.0,2,0.35,-7.365,1,67,0.035,115.642,4,0.803
Clay Walker,Then What?,0.169,0.564,183707,0.806,632411,0.0,4,0.0663,-8.227,1,48,0.063,176.405,4,0.633
Joe Diffie,Bigger Than the Beatles,0.182,0.716,235440,0.84,358278,0.0,7,0.0413,-6.21,1,51,0.0325,119.631,4,0.635
Tracy Lawrence,Time Marches On,0.563,0.856,185360,0.517,539339,0.000164,6,0.144,-9.232,0,65,0.0293,118.399,4,0.479
Kenny Chesney,She's Got It All,0.093,0.709,205093,0.811,2904195,1.08e-05,7,0.1,-6.603,1,60,0.0323,132.728,4,0.735
Mindy McCready,Guys Do It All the Time,0.0594,0.551,191800,0.794,162738,2.01e-05,0,0.231,-5.995,1,50,0.0341,165.813,4,0.587
Chely Wright,Single White Female,0.351,0.543,197880,0.658,74835,1.01e-06,6,0.0512,-8.091,1,48,0.0298,178.075,4,0.874
The Tractors,Baby Likes To Rock It,0.165,0.573,236467,0.946,26727,0.00028,5,0.13,-6.178,1,52,0.0369,79.966,4,0.964
Toby Keith,Wish I Didn't Know Now,0.521,0.753,207640,0.866,1230278,1.04e-06,7,0.332,-3.777,1,53,0.0392,117.106,4,0.848
Travis Tritt,Here's A Quarter [Call Someone Who Cares],0.196,0.654,152640,0.537,707888,0.0,7,0.119,-8.067,1,61,0.0257,112.437,3,0.597
Trisha Yearwood,XXX's And OOO's (An American Girl),0.176,0.711,167907,0.642,656607,0.0,0,0.0814,-8.909,1,57,0.0319,125.831,4,0.762
Trace Adkins,Every Light In The House,0.539,0.637,179600,0.472,1464653,0.0,5,0.446,-7.295,1,59,0.0271,129.236,4,0.349
Tracy Lawrence,Sticks And Stones,0.597,0.644,216707,0.667,539339,0.0,7,0.12,-5.741,1,58,0.0306,125.86,4,0.412
Reba McEntire,The Night The Lights Went Out In Georgia,0.52,0.428,257267,0.51,1108254,8.32e-06,7,0.105,-11.695,0,63,0.103,169.967,4,0.393
Faith Hill,It Matters To Me,0.567,0.613,197667,0.355,1073160,0.0,6,0.0909,-8.218,1,54,0.0247,135.622,4,0.129
Mary Chapin Carpenter,Down at the Twist and Shout,0.452,0.572,201147,0.953,106673,0.0,9,0.0313,-4.355,1,44,0.0625,192.304,4,0.972
Deana Carter,Strawberry Wine,0.302,0.558,290467,0.435,266206,0.0,1,0.0351,-6.812,1,63,0.0264,122.385,3,0.199
Trisha Yearwood,She's In Love With The Boy,0.522,0.783,248200,0.698,656607,2.52e-06,3,0.0754,-8.268,1,64,0.0323,124.996,4,0.758
Clint Black,Put Yourself In My Shoes,0.58,0.737,193093,0.41,489270,0.0,9,0.25,-11.088,1,44,0.0353,104.647,4,0.397
Confederate Railroad,Trashy Women,0.0452,0.639,194800,0.795,203622,0.0,9,0.121,-6.634,1,56,0.0344,142.566,4,0.864
George Strait,Check Yes Or No,0.0551,0.708,200667,0.524,1850160,3.21e-06,5,0.0371,-12.644,1,69,0.0352,111.482,4,0.69
Shania Twain,"Honey, I'm Home",0.208,0.616,215200,0.723,1888647,0.0,4,0.181,-6.451,1,61,0.0913,160.525,4,0.859
Radney Foster,Nobody Wins,0.311,0.66,210747,0.696,17013,0.0,7,0.165,-8.971,1,48,0.033,120.898,4,0.773
Randy Travis,If I Didn't Have You,0.164,0.674,186747,0.578,800382,0.0,4,0.103,-10.919,1,56,0.0663,172.498,4,0.961
Doug Stone,In a Different Light,0.146,0.462,205733,0.485,106926,2.24e-06,5,0.0604,-7.533,1,50,0.0247,168.374,4,0.506
Tim McGraw,Just To See You Smile,0.127,0.492,215173,0.823,3084721,0.0,6,0.0523,-8.526,1,66,0.0297,94.342,4,0.702
Alan Jackson,Little Bitty,0.15,0.563,158080,0.796,1198763,0.0,4,0.355,-7.604,1,61,0.0409,162.88,4,0.741
Brooks & Dunn,Brand New Man,0.00372,0.573,191053,0.846,1414077,7.87e-05,7,0.29,-4.866,1,69,0.0344,127.061,4,0.562
Clay Walker,"Live, Laugh, Love",0.195,0.647,246267,0.746,632411,0.0,2,0.0271,-10.597,1,45,0.0437,98.991,4,0.946
Billy Ray Cyrus,Busy Man,0.106,0.6,197267,0.568,156637,0.0,7,0.238,-9.867,1,43,0.0388,163.887,4,0.475
Toby Keith,Should've Been A Cowboy,0.351,0.585,208413,0.793,1230278,0.0,7,0.3,-3.713,1,69,0.0322,133.839,4,0.732
Wynonna,No One Else On Earth,0.188,0.775,255400,0.861,233634,4.2e-06,0,0.199,-7.113,1,53,0.0295,98.649,4,0.964
Neal McCoy,No Doubt About It,0.0761,0.708,162467,0.852,234707,0.0,4,0.172,-6.177,1,57,0.0302,117.644,4,0.93
Lonestar,Tequila Talkin',0.152,0.699,204627,0.543,796922,1.33e-06,9,0.156,-7.105,1,46,0.0231,99.235,4,0.561
Brooks & Dunn,Boot Scootin' Boogie,0.22,0.656,198020,0.817,1414077,0.0,11,0.306,-4.296,0,68,0.0435,130.446,4,0.862
Montgomery Gentry,Hillbilly Shoes,0.0332,0.655,192586,0.837,867651,0.00223,7,0.111,-6.072,1,49,0.0355,115.938,4,0.708
Alan Jackson,Gone Country,0.131,0.681,259893,0.719,1198763,1.65e-06,7,0.113,-5.918,1,61,0.0248,125.729,4,0.637
Travis Tritt,I'm Gonna Be Somebody - Remastered,0.148,0.561,245267,0.659,707888,9.93e-06,7,0.106,-6.701,1,49,0.0267,76.49,4,0.554
Joe Diffie,Honky Tonk Attitude,0.175,0.679,228627,0.812,358278,8.04e-06,5,0.1,-6.549,1,53,0.0266,140.467,4,0.775
Mark Chesnutt,Bubba Shot The Jukebox,0.307,0.544,185840,0.648,354328,0.0,7,0.0843,-8.454,1,58,0.0549,165.484,4,0.866
Aaron Tippin,You've Got to Stand for Something,0.199,0.533,182280,0.585,324801,0.0,4,0.11,-9.789,1,58,0.0337,83.403,4,0.472
Brooks & Dunn,How Long Gone,0.0246,0.611,219057,0.767,1414077,0.00182,5,0.401,-4.569,1,51,0.026,113.962,4,0.736
Alabama,I'm in a Hurry (And Don't Know Why),0.237,0.748,168813,0.72,652856,0.0,9,0.069,-7.774,1,64,0.0286,128.69,4,0.86
Billy Dean,Only Here For A Little While,0.141,0.537,214560,0.6,71421,0.0,9,0.36,-6.675,1,53,0.028,172.541,4,0.774
Randy Travis,Better Class Of Losers,0.194,0.59,160360,0.686,800382,0.0,7,0.2,-6.998,1,51,0.0364,179.387,4,0.733
Kenny Chesney,How Forever Feels,0.0986,0.723,188200,0.674,2904195,1.83e-05,7,0.279,-7.427,1,58,0.0297,124.9,4,0.61
George Strait,Carrying Your Love With Me,0.22,0.629,232427,0.479,1850160,0.0,10,0.0587,-10.608,1,65,0.0271,138.231,4,0.345
Brooks & Dunn,Neon Moon,0.554,0.702,263500,0.632,1414077,0.0,9,0.127,-6.508,1,70,0.0247,102.404,4,0.457
Faith Hill,Wild One,0.185,0.694,165013,0.654,1073160,0.0,11,0.283,-9.148,1,54,0.0322,135.787,4,0.689
Dixie Chicks,Wide Open Spaces,0.577,0.563,223832,0.544,942864,0.0,4,0.128,-6.102,1,68,0.0306,179.351,4,0.602
Sammy Kershaw,She Don't Know She's Beautiful,0.367,0.764,174627,0.646,317022,0.0,9,0.0849,-9.424,1,65,0.0302,116.141,4,0.877
Toby Keith,He Ain't Worth Missing,0.369,0.595,184693,0.779,1230278,0.0,7,0.0483,-4.512,1,50,0.0498,202.2,4,0.931
Trisha Yearwood,Perfect Love - Single Version,0.0219,0.729,177533,0.629,656607,0.0,5,0.17,-6.46,1,45,0.0354,129.853,4,0.791
Collin Raye,"Love, Me",0.742,0.686,231507,0.234,245105,0.0,0,0.145,-12.646,1,56,0.0295,106.581,4,0.342
Tracy Byrd,The Keeper Of The Stars,0.47,0.583,247627,0.276,413534,0.0,2,0.143,-12.912,1,59,0.0264,78.079,4,0.0486
Mary Chapin Carpenter,Shut Up and Kiss Me,0.571,0.778,220573,0.75,106673,0.000101,9,0.121,-5.052,1,43,0.0417,119.932,4,0.961
Ricochet,Daddy's Money,0.189,0.698,182462,0.861,3998,0.0,2,0.0602,-4.756,1,58,0.0289,134.726,4,0.941
Alan Jackson,Who's Cheatin' Who,0.226,0.656,241440,0.816,1198763,1.02e-05,7,0.264,-8.553,1,53,0.029,133.237,4,0.962
Tim McGraw,Indian Outlaw,0.0364,0.664,182120,0.739,3084721,4.99e-05,9,0.282,-7.229,1,62,0.0415,110.101,4,0.759
Toby Keith,You Ain't Much Fun,0.335,0.746,146373,0.802,1230278,0.0,9,0.353,-3.827,1,50,0.039,138.447,4,0.766
Shania Twain,No One Needs To Know,0.108,0.663,183960,0.525,1888647,0.0,7,0.349,-9.674,1,58,0.0331,134.748,4,0.731
Keith Whitley,It Ain't Nothin',0.548,0.79,244067,0.455,226192,0.000105,9,0.108,-11.039,1,45,0.0536,119.49,4,0.405
Ty Herndon,What Mattered Most,0.415,0.529,221427,0.509,73602,0.0,0,0.171,-8.926,1,47,0.0253,142.311,4,0.27
Brooks & Dunn,Hard Workin' Man,0.333,0.692,178493,0.77,1414077,1.17e-06,0,0.0552,-9.361,1,58,0.0369,151.51,4,0.731
Alan Jackson,Wanted,0.612,0.636,177320,0.298,1198763,4.31e-06,5,0.162,-8.931,1,50,0.0268,89.613,3,0.276
John Michael Montgomery,Life's A Dance,0.403,0.64,188840,0.533,549017,0.0,5,0.176,-9.846,1,60,0.0264,135.224,4,0.652
Reba McEntire,Fancy,0.204,0.675,296320,0.54,1108254,0.0,4,0.0688,-10.139,1,61,0.0774,94.959,4,0.514
Dixie Chicks,You Were Mine,0.342,0.542,217807,0.346,942864,0.0,9,0.283,-6.598,1,58,0.0296,139.856,4,0.173
Hal Ketchum,Small Town Saturday Night,0.218,0.627,177987,0.697,51469,0.0,8,0.0733,-6.61,1,61,0.0266,154.086,4,0.933
Toby Keith,A Little Less Talk And A Lot More Action,0.229,0.72,169400,0.918,1230278,0.0,9,0.159,-3.225,1,54,0.0408,125.091,4,0.955
David Lee Murphy,Dust On The Bottle,0.0237,0.736,224667,0.614,159152,5.84e-06,11,0.292,-11.124,1,69,0.0389,99.942,4,0.858
Alan Jackson,Livin' On Love,0.163,0.705,228733,0.669,1198763,3.41e-06,9,0.0966,-5.974,1,60,0.0262,118.539,4,0.673
Mark Chesnutt,Brother Jukebox,0.205,0.633,184600,0.612,354328,0.00114,1,0.149,-11.231,1,49,0.0264,141.084,4,0.918
Vince Gill,One More Last Chance,0.411,0.525,191200,0.878,304658,0.0,2,0.291,-8.677,1,53,0.0404,176.249,4,0.963
Joe Diffie,John Deere Green,0.15,0.685,273000,0.817,358278,0.0,2,0.242,-5.683,1,63,0.0298,130.41,4,0.768
Jo Dee Messina,I'm Alright,0.191,0.676,199040,0.733,399758,0.0,0,0.192,-7.745,1,61,0.0294,98.234,3,0.591
Martina McBride,Independence Day,0.257,0.712,204627,0.63,769956,6.65e-05,9,0.0999,-6.202,1,59,0.0299,118.378,4,0.768
Tim McGraw,"I Like It, I Love It",0.0196,0.643,205707,0.961,3084721,0.0,0,0.948,-5.298,1,67,0.0315,124.027,4,0.96
Dixie Chicks,Ready to Run,0.245,0.644,231293,0.644,942864,0.00083,7,0.27,-7.542,1,57,0.0305,98.746,4,0.293
Tracy Byrd,Watermelon Crawl,0.173,0.759,181973,0.723,413534,0.0,0,0.179,-9.315,1,65,0.028,136.746,4,0.962
Collin Raye,I Think About You,0.227,0.706,207133,0.716,245105,0.0,0,0.111,-6.931,1,44,0.0251,120.75,4,0.839
Joe Diffie,Pickup Man,0.426,0.712,216173,0.723,358278,0.0,7,0.264,-7.47,1,65,0.0377,140.566,4,0.867
Diamond Rio,How Your Love Makes Me Feel,0.351,0.612,245400,0.787,492363,0.0,0,0.065,-8.119,1,48,0.0313,140.91,4,0.577
Toby Keith,Dream Walkin',0.355,0.7,235627,0.77,1230278,0.0,5,0.0919,-5.116,1,48,0.0282,117.566,4,0.513
Tim McGraw,Down On The Farm,0.115,0.721,178867,0.735,3084721,0.0,5,0.0499,-11.849,0,56,0.0284,127.575,4,0.961
George Strait,TRUE,0.254,0.59,214000,0.669,1850160,0.000151,7,0.143,-4.975,1,49,0.0268,115.341,4,0.4
Tanya Tucker,Two Sparrows In A Hurricane,0.551,0.692,249733,0.253,317721,3.01e-06,10,0.102,-13.684,1,50,0.0289,104.123,4,0.22
Travis Tritt,T-R-O-U-B-L-E - Remastered,0.0121,0.3,181333,0.965,707888,0.000742,7,0.687,-6.724,1,49,0.0429,178.963,4,0.793
Collin Raye,That's My Story,0.538,0.642,182960,0.834,245105,0.0,5,0.108,-4.4,0,50,0.0982,137.875,4,0.645
Dwight Yoakam,Ain't That Lonely Yet - Remastered,0.431,0.598,200707,0.732,329319,3.31e-06,5,0.1,-5.098,1,49,0.0259,106.92,4,0.549
Jo Dee Messina,Lesson In Leavin',0.273,0.612,220200,0.804,399758,0.0,7,0.311,-7.275,1,59,0.0543,80.771,4,0.841
Shania Twain,Any Man Of Mine,0.207,0.592,246760,0.725,1888647,0.0,8,0.148,-8.698,1,68,0.0412,78.235,4,0.784
Disclosure,You & Me - Flume Remix,0.382,0.593,282813,0.392,1734487,0.000114,10,0.131,-6.872,0,68,0.0257,75.065,4,0.25
R3HAB,Tell Me It's Ok,0.363,0.735,158437,0.564,1992668,4.69e-05,7,0.167,-5.775,1,35,0.0712,127.947,4,0.217
ZHU,Faded - ODESZA Remix,0.0408,0.746,238640,0.67,545730,0.194,0,0.133,-5.072,1,54,0.0594,125.016,4,0.629
Ookay,Thief,0.00476,0.57,239711,0.797,211105,0.00833,6,0.11,-2.954,1,63,0.0608,149.926,4,0.212
BONNIE X CLYDE,The Unknown,0.0672,0.48,173538,0.889,30430,2.93e-06,11,0.0859,-2.413,0,45,0.0454,129.985,4,0.297
Whethan,Superlove (feat. Oh Wonder),0.203,0.578,184814,0.491,171001,0.000378,11,0.182,-8.544,0,66,0.21,98.273,4,0.64
Jauz,Ghost,0.101,0.53,201333,0.634,328534,4.04e-06,5,0.112,-5.178,0,51,0.0652,180.153,4,0.398
Jai Wolf,Lost (feat. Chelsea Jade),0.0533,0.672,241041,0.647,194733,0.0932,1,0.122,-6.264,1,53,0.0314,99.994,4,0.237
Dillon Francis,Never Let You Go,0.0106,0.725,191790,0.75,978236,0.0,0,0.197,-6.504,1,37,0.0385,92.909,4,0.207
RÜFÜS DU SOL,Innerbloom (What So Not Remix),0.135,0.437,277200,0.708,575186,6.57e-05,7,0.152,-6.627,0,55,0.095,137.971,4,0.108
BONNIE X CLYDE,Torn,0.275,0.318,260000,0.828,30430,7.17e-05,3,0.325,-4.991,0,25,0.104,119.798,4,0.118
R3HAB,Whiplash,0.494,0.556,145217,0.188,1992668,0.0,8,0.119,-12.161,1,29,0.0316,138.091,4,0.184
Jauz,Diamonds,0.0648,0.592,268949,0.536,328534,0.00977,5,0.588,-10.333,0,42,0.0451,176.004,4,0.361
obylx,Turning,0.103,0.542,191200,0.496,3053,0.0,0,0.651,-10.433,0,34,0.0413,149.94,4,0.128
Sonny Side Up,Young,0.293,0.645,168175,0.615,1949,0.0492,4,0.0625,-9.797,1,39,0.0421,136.979,4,0.0495
San Holo,Light - GoSlo Remix,0.102,0.531,302640,0.668,555443,0.0,9,0.218,-4.486,1,46,0.042,118.806,4,0.161
Mr. Popular,BAE,0.318,0.736,211546,0.457,2853,0.0,3,0.129,-6.459,0,14,0.183,96.964,4,0.45
RÜFÜS DU SOL,You Were Right - Ki:Theory Remix,0.334,0.501,216885,0.779,575186,0.136,8,0.159,-6.4,1,27,0.0483,122.123,4,0.0613
The Chainsmokers,Somebody - Fluencee Remix,0.0677,0.487,254480,0.867,15902953,0.0,8,0.0905,-3.81,1,22,0.0767,112.023,4,0.676
Keys N Krates,Music To My Ears (feat. Tory Lanez) - Falcons Remix,0.22,0.582,172172,0.55,173876,0.0,5,0.144,-6.319,0,45,0.168,91.667,4,0.343
Getter,Solo,0.0445,0.491,346286,0.879,252776,0.000902,7,0.324,-4.018,0,46,0.0629,139.996,4,0.079
Jeff Basta,Thirteen Years,0.611,0.371,287996,0.586,745,9.22e-05,1,0.0947,-7.659,0,33,0.0485,106.278,4,0.161
R3HAB,Rumors (With Sofia Carson),0.44,0.712,138298,0.496,1992668,0.0,6,0.186,-6.061,1,53,0.124,141.212,4,0.638
San Holo,worthy,0.386,0.441,299143,0.525,555443,0.000609,4,0.185,-6.946,1,46,0.0392,104.575,4,0.232
CRAY,Fractions,0.122,0.444,172075,0.779,27392,0.174,11,0.223,-6.963,0,44,0.0398,105.845,4,0.19
Mija,Notice Me,0.123,0.496,193472,0.5,49978,0.248,5,0.126,-8.663,1,31,0.0301,90.052,4,0.2
Rhye,Open,0.374,0.429,267187,0.457,5537,0.298,5,0.108,-7.588,1,35,0.0264,83.685,4,0.228
Dulce Huai,Tan Sólo Tú,0.205,0.637,234319,0.563,53,2.05e-05,0,0.0836,-5.98,1,3,0.0472,124.88,4,0.269
CORSAK,Reverse,0.0767,0.628,192027,0.713,7166,0.00029,0,0.106,-5.139,0,48,0.0432,140.026,4,0.334
phem,crypto bitxh,0.00981,0.714,168000,0.731,18453,0.0,1,0.0727,-7.031,1,30,0.248,160.032,4,0.306
Said the Sky,Superstar,0.0712,0.617,206222,0.721,163862,6.61e-05,5,0.0867,-5.568,1,52,0.0375,134.974,4,0.422
Flume,Never Be Like You (feat. Kai),0.453,0.444,234910,0.557,1988082,0.0,0,0.152,-5.476,1,68,0.0602,115.058,4,0.296
Amba Shepherd,Fall,0.225,0.315,227290,0.897,6734,0.0,8,0.205,-4.601,1,30,0.281,127.89,4,0.594
DOLF,Fuck It All Up (feat. JVZEL),0.00173,0.548,226172,0.811,11620,3.56e-05,11,0.323,-3.985,1,48,0.0475,155.08,4,0.401
Devault,Leave Me Now,0.0315,0.622,195733,0.719,24997,0.901,1,0.219,-6.389,1,39,0.0637,103.044,4,0.153
DROELOE,Many Words,0.133,0.661,220000,0.764,143470,0.223,11,0.121,-6.857,1,50,0.0412,149.971,4,0.39
Clean Bandit,I Miss You (feat. Julia Michaels) - Branchez & Charlie Klarsfeld Remix,0.567,0.659,250252,0.502,3756153,0.000496,7,0.128,-7.223,0,47,0.0543,160.056,4,0.537
Sabrina Claudio vs.,Don't Let Me Down - Sabrina Claudio vs. Devault Remix,0.298,0.648,245000,0.651,1088,0.0262,1,0.252,-8.92,1,61,0.0995,107.989,4,0.232
Emilia Ali,u don’t like me when i’m high - Weirdos Remix,0.524,0.628,191255,0.487,5652,7.02e-06,1,0.116,-7.034,0,34,0.0676,127.908,4,0.483
The Him,Broken Love (feat. Parson James),0.376,0.522,208352,0.558,77399,0.0,6,0.162,-5.497,1,49,0.126,182.021,4,0.403
Raphaella,Read My Mind,0.276,0.223,231607,0.597,4559,1.27e-05,8,0.135,-6.722,1,32,0.0693,84.819,5,0.346
Alex Lustig,If You Wanna (feat. Ayelle),0.681,0.765,181960,0.491,19790,0.0145,8,0.104,-8.685,0,48,0.311,94.949,4,0.353
Louis The Child,Fire,0.263,0.386,205618,0.714,347909,0.0,6,0.233,-5.597,0,58,0.381,89.807,4,0.289
The Glitch Mob,Keep on Breathing (feat. Tula),0.191,0.714,192898,0.699,483546,0.709,1,0.117,-8.984,1,38,0.167,122.628,5,0.546
ODESZA,Keep Her Close,0.0332,0.484,214154,0.844,1110917,0.0319,9,0.22,-6.096,0,50,0.0479,130.062,4,0.49
Flume,Say It - SG Lewis Remix,0.0318,0.605,297600,0.501,1988082,0.35,11,0.208,-7.49,0,43,0.0429,150.013,4,0.103
Elias,Focus - Netsky Remix,0.327,0.61,219429,0.708,20264,4.89e-06,6,0.102,-3.374,0,46,0.0415,139.942,4,0.114
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0.556,0.76,158040,0.479,880888,0.0,2,0.0703,-5.574,1,86,0.0466,89.911,4,0.913
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.157,0.842,212500,0.801,6757880,4.82e-06,8,0.0642,-4.167,0,81,0.228,95.881,4,0.617
Halsey,Without Me,0.297,0.752,201661,0.488,10231680,9.11e-06,6,0.0936,-7.05,1,85,0.0705,136.041,4,0.533
Ariana Grande,breathin,0.0211,0.568,198160,0.656,44580642,1.37e-05,8,0.213,-5.413,1,77,0.0433,100.049,4,0.364
Billie Eilish,when the party's over,0.978,0.367,196077,0.111,24200807,3.97e-05,4,0.0897,-14.084,1,89,0.0972,82.642,4,0.198
Dean Lewis,Be Alright,0.697,0.553,196373,0.586,1053865,0.0,11,0.0813,-6.319,1,82,0.0362,126.684,4,0.443
benny blanco,Eastside (with Halsey & Khalid),0.555,0.56,173800,0.68,522046,0.0,6,0.116,-7.648,0,83,0.321,89.391,4,0.319
Alesso,REMEDY,0.269,0.601,190295,0.775,3336013,0.0,0,0.0883,-4.612,1,76,0.0473,119.964,4,0.483
Jonas Blue,Polaroid,0.29,0.652,193377,0.898,2703429,0.0,7,0.073,-4.481,0,74,0.0361,114.043,4,0.472
Alessia Cara,Trust My Lonely,0.00421,0.613,199747,0.668,7008557,2.04e-06,0,0.324,-6.134,1,57,0.162,150.173,4,0.622
Marshmello,Happier,0.191,0.687,214290,0.792,22951322,0.0,5,0.167,-2.749,1,87,0.0452,100.015,4,0.671
Astrid S,Emotion,0.0125,0.402,190330,0.75,561485,0.00192,0,0.396,-6.607,1,55,0.0567,146.223,4,0.502
Jack & Jack,No One Compares To You,0.127,0.7,182920,0.748,1143171,0.0,1,0.0941,-6.044,1,79,0.0434,111.939,4,0.631
Tiësto,Jackie Chan,0.022,0.841,198750,0.83,4960428,4.31e-06,10,0.398,-4.641,0,44,0.0733,127.98,4,0.508
Shawn Mendes,Lost In Japan - Remix,0.0911,0.706,201253,0.855,25660460,0.0,10,0.347,-5.377,1,74,0.215,107.184,4,0.293
Mumford & Sons,Guiding Light,0.063,0.553,217633,0.711,5653918,8.41e-06,7,0.0759,-7.714,1,59,0.0453,99.997,4,0.299
Lady Gaga,Shallow,0.416,0.575,217213,0.33,11234727,0.0,7,0.0872,-6.557,1,77,0.031,95.801,4,0.277
Quavo,LOSE IT (feat. Lil Baby),0.0161,0.962,237655,0.573,3881385,0.0,7,0.109,-5.924,1,60,0.308,125.035,4,0.728
Ariana Grande,God is a woman,0.0233,0.602,197547,0.658,44580642,6e-05,1,0.237,-5.934,1,80,0.0558,145.031,4,0.268
Imagine Dragons,Natural,0.217,0.704,189467,0.611,26500501,0.0,2,0.0812,-6.112,1,82,0.0409,100.0,4,0.22
Drake,In My Feelings,0.0589,0.835,217925,0.626,46122544,6e-05,1,0.396,-5.833,1,82,0.125,91.03,4,0.35
Zedd,Happy Now,0.579,0.503,207030,0.741,5112413,1.49e-06,4,0.0712,-5.128,1,78,0.047,88.335,3,0.458
Post Malone,Better Now,0.331,0.68,231267,0.578,24275167,0.0,10,0.135,-5.804,1,85,0.04,145.038,4,0.341
Maroon 5,Girls Like You (feat. Cardi B),0.568,0.851,235545,0.541,23709809,0.0,0,0.13,-6.825,1,72,0.0505,124.959,4,0.448
Jonas Blue,Rise,0.000162,0.712,266997,0.816,2703429,0.000376,10,0.0566,-4.141,0,40,0.0487,124.02,4,0.531
Kanye West,I Love It (& Lil Pump),0.0114,0.901,127947,0.522,11528211,0.0,2,0.259,-8.304,1,77,0.33,104.053,4,0.329
Logic,100 Miles and Running (ft. Wale & John Lindahl),0.579,0.835,353453,0.929,4572329,1.28e-06,7,0.38,-3.595,1,59,0.0653,119.047,4,0.96
Aminé,REEL IT IN,0.073,0.754,121347,0.342,1207581,0.0,10,0.193,-8.677,0,78,0.0991,128.981,4,0.423
Alessia Cara,Growing Pains,0.8,0.492,227693,0.267,7008557,0.0,7,0.249,-9.25,1,78,0.0336,117.679,3,0.137
5 Seconds of Summer,Valentine,0.0601,0.746,196628,0.767,6019686,1.07e-05,1,0.0859,-2.907,0,67,0.0374,94.007,4,0.773
CHVRCHES,Miracle,0.0144,0.574,188252,0.738,1118026,0.0,5,0.178,-4.426,1,57,0.0316,124.004,4,0.439
Ariana Grande,no tears left to cry,0.04,0.699,205920,0.713,44580642,3.11e-06,9,0.294,-5.507,0,82,0.0594,121.993,4,0.354
Eminem,Fall,0.227,0.83,262494,0.546,34338691,0.0,1,0.112,-5.716,1,71,0.295,182.973,4,0.535
Major Lazer,Blow That Smoke,0.032,0.719,223000,0.703,6004999,1.14e-05,5,0.0656,-4.93,0,52,0.0392,101.984,4,0.72
Calum Scott,No Matter What,0.901,0.5,236907,0.295,2277460,0.0,10,0.104,-7.894,1,69,0.0307,135.076,4,0.273
Zedd,The Middle,0.171,0.753,184732,0.657,5112413,0.0,7,0.112,-3.061,1,82,0.0449,107.01,4,0.437
Noah Kahan,False Confidence,0.163,0.414,223400,0.663,201833,0.0,6,0.138,-7.77,1,73,0.0456,108.98,4,0.33
Calvin Harris,Promises (with Sam Smith),0.0119,0.781,213309,0.768,19875711,4.91e-06,11,0.325,-5.991,1,82,0.0394,123.07,4,0.486
Lady Gaga,Look What I Found,0.456,0.849,175240,0.493,11234727,0.000463,1,0.133,-4.1,0,65,0.0417,97.012,4,0.447
Julia Michaels,Jump (with Trippie Redd),0.25,0.654,207857,0.547,2738551,0.0,10,0.0961,-6.598,1,64,0.127,173.981,4,0.507
Lil Wayne,Mona Lisa (feat. Kendrick Lamar),0.371,0.855,324189,0.694,8990302,0.0,2,0.109,-4.393,1,69,0.169,122.078,4,0.49
Logic,YSIV,0.00575,0.388,298133,0.777,4572329,0.0,1,0.288,-5.55,1,62,0.241,175.933,4,0.192
NF,Lie,0.0262,0.779,206387,0.626,2016057,0.00488,10,0.114,-7.73,0,67,0.067,140.078,4,0.419
Kygo,Born To Be Yours,0.3,0.688,193321,0.688,6259771,0.0,3,0.0982,-5.84,1,63,0.0357,114.011,4,0.451
