YEAR,ID1,ArtistName,SongTitle
,191,hermans hermits,dandy
,192,slim harpo,baby scratch my back
,193,gary lewis  the playboys,shes just my style
,194,chris montez,the more i see you
,195,bobby fuller four,i fought the law
,196,the beatles,yellow submarine
,197,paul revere  the raiders,hungry
,198,herb alpert and the tijuana brass,zorba the greek
,199,the yardbirds,shapes of things
,200,wilson pickett,6345789 soulsville usa
,201,lulu,to sir with love
,202,the box tops,the letter
,203,bobbie gentry,ode to billie joe
,204,the association,windy
,205,the monkees,im a believer
,206,the doors,light my fire
,207,frank  nancy sinatra,somethin stupid
,208,the turtles,happy together
,209,the young rascals,groovin
,210,frankie valli,cant take my eyes off you
,211,the music explosion,little bit o soul
,212,tommy james and the shondells,i think were alone now
,213,aretha franklin,respect
,214,stevie wonder,i was made to love her
,215,bobby vee,come back when you grow up
,216,the buckinghams,kind of a drag
,217,arthur conley,sweet soul music
,218,the soul survivors,expressway to your heart
,219,sam  dave,soul man
,220,the association,never my love
,221,jay  the techniques,apples peaches pumpkin pie
,222,every mothers son,come on down to my boat
,223,strawberry alarm clock,incense and peppermints
,224,the rolling stones,ruby tuesday
,225,vikki carr,it must be him
,226,the supremes,love is here and now youre gone
,227,buffalo springfield,for what its worth
,228,brenton wood,gimme little sign
,229,the supremes,the happening
,230,the beatles,all you need is love
,231,engelbert humperdinck,release me
,232,marvin gaye  tammi terrell,your precious love
,233,jefferson airplane,somebody to love
,234,the esquires,get on up
,235,van morrison,brown eyed girl
,236,martha and the vandellas,jimmy mack
,237,the happenings,i got rhythm
,238,procol harum,a whiter shade of pale
,239,the buckinghams,dont you care
,240,the casinos,then you can tell me goodbye
,241,the supremes,reflections
,242,the hollies,on a carousel
,243,bobby vinton,please love me forever
,244,dionne warwick,alfie
,245,the tremeloes,silence is golden
,246,ed ames,my cup runneth over
,247,the 5th dimension,up up and away
,248,scott mckenzie,san francisco be sure to wear flowers in your hair
,249,the cowsills,the rain the park  other things
,250,hermans hermits,theres a kind of hush
,251,the buckinghams,mercy mercy mercy
,252,petula clark,this is my song
,253,jackie wilson,your love keeps lifting me higher and higher
,254,the young rascals,ive been lonely too long
,255,the beatles,penny lane
,256,the temptations,youre my everything
,257,the seekers,georgy girl
,258,five americans,western union
,259,aretha franklin,baby i love you
,260,the monkees,a little bit me a little bit you
,261,lesley gore,california nights
,262,the mamas  the papas,dedicated to the one i love
,263,the young rascals,how can i be sure
,264,the hollies,carrie anne
,265,blues magoos,we aint got nothin yet
,266,the easybeats,friday on my mind
,267,the barkays,soul finger
,268,the spencer davis group,gimme some lovin
,269,the hombres,let it out let it all hang out
,270,the grass roots,lets live for today
,271,peaches  herb,close your eyes
,272,booker t  the mgs,groovin
,273,wilson pickett,funky broadway
,274,the monkees,pleasant valley sunday
,275,aretha franklin,i never loved a man the way i love you
,276,aaron neville,tell it like it is
,277,james brown,cold sweat
,278,the turtles,shed rather be with me
,279,keith,986
,280,ray charles,here we go again
,281,jefferson airplane,white rabbit
,282,four tops,bernadette
,283,sonny  cher,the beat goes on
,284,the royal guardsmen,snoopy vs the red baron
,285,janis ian,societys child
,286,neil diamond,girl youll be a woman soon
,287,marvin gaye  tammi terrell,aint no mountain high enough
,288,sandy posey,i take it back
,289,the tremeloes,here comes my baby
,290,robert knight,everlasting love
,291,peter paul and mary,i dig rock and roll music
,292,bill cosby,little ole man uptight everythings alright
,293,the electric prunes,i had too much to dream last night
,294,the monkees,daydream believer
,295,johnny rivers,baby i need your lovin
,296,tommy james and the shondells,mirage
,297,tom jones,green green grass of home
,298,the who,i can see for miles
,299,petula clark,dont sleep in the subway
,300,neil diamond,thank the lord for the night time
,301,the beatles,hey jude
,302,paul mauriat,love is blue
,303,bobby goldsboro,honey
,304,otis redding,sittin on the dock of the bay
,305,the rascals,people got to be free
,306,cream,sunshine of your love
,307,herb alpert,this guys in love with you
,308,hugo montenegro,the good the bad and the ugly
,309,simon  garfunkel,mrs robinson
,310,archie bell  the drells,tighten up
,311,jeannie c riley,harper valley pta
,312,o c smith,little green apples
,313,tommy james and the shondells,mony mony
,314,the doors,hello i love you
,315,gary puckett  the union gap,young girl
,316,the box tops,cry like a baby
,317,the 5th dimension,stoned soul picnic
,318,hugh masekela,grazing in the grass
,319,the grass roots,midnight confessions
,320,sly  the family stone,dance to the music
,321,cliff nobles,the horse
,322,the temptations,i wish it would rain
,323,the delfonics,lala means i love you
,324,the vogues,turn around look at me
,325,john fred  his playboy band,judy in disguise with glasses
,326,classics iv,spooky
,327,the supremes,love child
,328,merrilee rush,angel of the morning
,329,georgie fame,the ballad of bonnie and clyde
,330,mary hopkin,those were the days
,331,steppenwolf,born to be wild
,332,the intruders,cowboys to girls
,333,1910 fruitgum company,simon says
,334,gary puckett  the union gap,lady willpower
,335,the rascals,a beautiful morning
,336,sergio mendes,the look of love
,337,johnny nash,hold me tight
,338,ohio express,yummy yummy yummy
,339,the crazy world of arthur brown,fire
,340,the troggs,love is all around
,341,gene  debbe,playboy
,342,dionne warwick,theme from valley of the dolls
,343,mason williams,classical gas
,344,clarence carter,slip away
,345,the okaysions,im a girl watcher
,346,aretha franklin,sweet sweet baby since youve been gone
,347,the lemon pipers,green tambourine
